ob	(prep.) (with acc.) on account of, for, because of, by reason of, for the sake of
res, rei (f.)	(n.) thing, matter, affair, business, event, fact, circumstance, occurrence, case, situation
per	(prep.) (with acc.) through, across, along, among
rideo, -ere, risi, risum	(v.) to laugh, smile
verto (vorto), -ere, -i, versum	(v.) to turn, turn up, turn back, direct
cresco, -ere, crevi, cretum	(v.) to come into being, spring up, arise, be born, grow
exerceo, -ere, -ui, -itum	(v.) to exercise, practice; enforce, administer; cultivate
quippe	(adv./conj.) of course, as you see, obviously, as one might expect, naturally, by all means
qualis, -e	(adj.) of what sort, of what nature, what kind of a; of such a sort, kind, or nature, such as, as
diva, -ae (f.)	(n.) goddess
scelestus, -a, -um	(adj.) infamous, wicked; accursed
iuxta	(prep.) (with acc.) near, close to, next to; on par with, like
sepulcrum, -i (n.)	(n.) grave, tomb
adsurgo (ass-), -ere, -surrexi, -surrectum	(v.) to rise up, rise, stand up
cunctor, -ari, -atus sum	(v.) to delay, linger, loiter; hesitate, doubt
necesse	(adj.) necessary, essential; unavoidable, compulsory, inevitable; true
telum, -i (n.)	(n.) missile, dart, spear, shaft, javelin
iratus, -a, -um	(adj.) angry, angered; violent
pax, pacis (f.)	(n.) compact, agreement, peace, treaty of peace
regnum, -i (n.)	(n.) kingdom, kingly government, royal authority, kingship, royalty
dies, -ei (m. or f.)	(n.) day, daylight
facilis, -e	(adj.) easy to do, easy, without difficulty
propter	(prep.) (with acc.) near, close to; because of, on account of
in	(prep.) (with abl.) in, on; (with acc.) into, to, onto, against
incido, -ere, -cidi	(v.) to fall in, fall, light, strike, reach, find the way
scribo, -ere, scripsi, scriptum	(v.) to write, write out, compose, draw up, produce
metus, -us (m.)	(n.) fear, dread, apprehension, anxiety
domus, -us or -i (f.)	(n.) house, home, dwelling-house, building, mansion, palace
agricola, -ae (m.)	(n.) farmer, countryman, peasant
quisque, quaeque, quidque (or quodque or quicque)	(pron./adj.) whoever it be, whatever, each, each one, every, everybody, everyone
quater	(adv.) four times
domina, -ae (f.)	(n.) mistress, lady, she who rules; a female slave-owner
tego, -ere, texi, tectum	(v.) to cover, cover over
provincia, -ae (f.)	(n.) province; official duty
beneficium, -i (n.)	(n.) favor, benefit, service, kindness
somnium, -i (n.)	(n.) dream, vision; fantasy, daydream
vendo, -ere, -didi, -ditum	(v.) to sell
ubique	(adv.) anywhere, everywhere
ille, illa, illud	(pron./adj.) that
gens, gentis (f.)	(n.) race, clan, house
volo, velle, volui	(v.) to will, wish, want, purpose, be minded, determine
ergo	(conj.) consequently; therefore, then, so then; because of (with gen.)
quisquis, quaeque, quodquod (or quidquid or quicquid)	(pron./adj.) whoever, whosoever, whatever, whatsoever, everyone who, each, every, all
metuo, -ere, -ui	(v.) to fear, be afraid, stand in fear, be apprehensive
fides, -ei (f.)	(n.) trust, faith, confidence, reliance, credence, belief
clamor, -is (m.)	(n.) shout, cry; loud shouting; applause; a loud noise, roar; a battle-cry
celer, -eris, -ere	(adj.) swift, fleet, quick, speedy
affirmo (adf-), -are, -avi, -atum	(v.) to strengthen; confirm, encourage; declare
carus, -a, -um	(adj.) dear, precious, valued, esteemed, beloved
aestas, -atis (f.)	(n.) summer; summer heat/weather; a year
