forum, -i (n.)	(n.) forum, market; the Forum (in Rome); court of justice
exemplum, -i (n.)	(n.) example, sample; instance; precedent, case; warning, deterrent
exitus, -us (m.)	(n.) going out, exit, departure; end, conclusion, death
cliens, -entis	(n.) client, dependent (of a patron); client state or its citizens, allies
locus or locum, -i (m.)	(n.) place, spot
prosum, prodesse, profui	(v.) (with dat.) to be useful, be of use, do good, benefit, profit, serve
committo, -ere, -misi, -missum	(v.) to bring together, join, combine, put together, connect, unite
lupus, -i (m.)	(n.) wolf
carmen, -inis (n.)	(n.) song, poem, verse, prophecy, note, sound (vocal or instrumental)
deus, -i (m.)	(n.) god, deity
cupiditas, -atis (f.)	(n.) desire, lust, greed, enthusiasm, eagerness, passion
tacitus, -a, -um	(adj.) silent, not spoken of, kept secret, secret, hidden
incendium, -i (n.)	(n.) fire; fiery heat; fiery passion, love, hostility; incendiary missile; (pl.) flames
fuga, -ae (f.)	(n.) fleeing, flight, running away
natus (gnatus), -i (m.)	(n.) son
occupo, -are, -avi, -atum	(v.) to take into possession, seize, occupy, master, win
quis, quid	(pron./adj.) who, what
caelum, -i (n.)	(n.) sky, heaven, heavens, vault of heaven
satis or sat	(adj./adv.) enough, sufficient, satisfactory, ample, adequate
quia	(conj.) because, since
ceterus, -a, -um	(adj.) the other, remainder, rest
abeo, -ire, -ii, -itum	(v.) to go from, go away, go off, go forth, go, depart
initium, -i (n.)	(n.) beginning; entrance
induo, -ere, -ui, -utum	(v.) to put on, clothe, cover; to dress oneself in
nascor, -i, natus sum	(v.) to be born, begin life, be produced, proceed, be begotten
celeritas, -atis (f.)	(n.) speed, quickness; speed of action; haste
relinquo, -ere, -liqui, -lictum	(v.) to leave behind, give up, leave, abandon
tardus, -a, -um	(adj.) slow; deliberate; late
vacuus, -a, -um	(adj.) empty, unoccupied; devoid of, free of
sidus, -eris (n.)	(n.) group of stars, constellation, heavenly body, star
heri	(adv.) yesterday
aedifico, -are, -avi, -atum	(v.) to build, construct, make; create; establish; improve
meus, -a, -um	(adj.) of me, my, mine, belonging to me, my own
statim	(adv.) straightaway, at once, immediately, instantly
formido, -inis (f.)	(n.) fearfulness, fear, terror, dread, awe
liberta, -ae (f.)	(n.) freedwoman, freed person, formerly enslaved woman
dea, -ae (f.)	(n.) goddess
palma, -ae (f.)	(n.) palm, flat hand; palm tree, palm
causa, -ae (f.)	(n.) cause, reason, motive, occasion, opportunity; (in the ablative) for the sake of
saxum, -i (n.)	(n.) large stone, broken rock, boulder, rock
ordo, -inis (m.)	(n.) row, line, series, order, rank
invitus, -a, -um	(adj.) reluctant, unwilling; against one’s will
dico, -ere, dixi, dictum	(v.) to say, speak, utter, tell, mention, relate, affirm, declare, state, assert
vir, viri (m.)	(n.) male person, adult male, man
Lucilius, -i (m.)	(proper n.) a Roman male name (nomen – name of a Roman gens)
ignavus, -a, -um	(adj.) lazy, idle; spiritless; cowardly, faint-hearted; ignoble
templum, -i (n.)	(n.) temple, shrine, sanctuary
hic	(adv.) here, in this place
audio, -ire, -ivi (or -ii), -itum	(v.) to hear, listen (to)
fortasse	(adv.) perhaps, possibly; it may be
