sordidus, -a, -um	(adj.) dirty, unclean, foul, filthy; vulgar, low, paltry; vile
ingenium, -i (n.)	(n.) innate quality, nature, temperament, constitution, character
ius, iuris (n.)	(n.) right, justice, duty, law
lux, lucis (f.)	(n.) light, brightness
Camilla, -ae (f.)	(proper n.) Camilla, warrior and leader of the Volsci
simul	(adv.) at the same time, together, at once, simultaneously
par, paris	(adj.) equal
ardeo, -ere, arsi, arsum	(v.) to be on fire, burn, blaze, be burned, glow
frango, -ere, fregi, fractum	(v.) to break (in pieces), dash to pieces, shiver, shatter, fracture
litus, -oris (n.)	(n.) seashore, seaside, beach
dormio, -ire, -ivi, -itum	(v.) to sleep, rest; do nothing
turpis, -e	(adj.) ugly, unsightly, unseemly, repulsive, foul, filthy; shameful, disgraceful
malum, -i (n.)	(n.) an evil, mischief, misfortune, calamity
vix	(adv.) with difficulty, with much ado, hardly, scarcely, barely
oratio, -onis (f.)	(n.) speech; eloquence; the power of speech
consumo, -ere, -sumpsi, -sumptum	(v.) to burn up, destroy; reduce, wear away; extinguish, exhaust; devour, consume; spend, squander
solus, -a, -um	(adj.) alone, only, single, sole
credo, -ere, -didi, -ditum	(v.) (with dat.) to believe, trust; to confide in, have confidence in
post	(prep./adv.) (with acc.) (of space) behind, after; (of time) behind, afterward, after, later
aperio, -ire, -ui, -tum	(v.) to uncover, open, disclose; explain, recount; reveal; establish
sine	(prep.) (with abl.) without
stilus, -i (m.)	(n.) pen, stylus used for writing on wax tablets
cinis, -eris (m.)	(n.) ashes
porto, -are, -avi, -atum	(v.) to carry, bring
Troia, -ae (f.)	(proper n.) Troy, a city of Asia Minor
taberna, -ae (f.)	(n.) tavern, inn, small shop, booth, hut, cottage
ni	(adv./conj.) not; if not, unless
urbs, urbis (f.)	(n.) walled town, city, city of Rome
hasta, -ae (f.)	(n.) staff, rod, pole; spear, javelin
Alexandrinus, -a, -um	(adj.) Alexandrian, pertaining to Alexandria (a city in Egypt)
accendo (adc-), -ere, -cendi, -censum	(v.) to kindle, set on fire, inflame
amplector, -i, amplexus sum	(v.) to twine around, encircle, encompass, embrace
horreo, -ere, -ui	(v.) to shudder (at), stand on end, stand erect, bristle, be rough
libero, -are, -avi, -atum	(v.) to free; acquit, absolve; liberate, release
terreo, -ere, -ui, -itum	(v.) to frighten; deter
nolo, nolle, nolui	(v.) to wish ... not, not to wish; be unwilling, refuse
spes, spei (f.)	(n.) hope
num	(adv.) if, whether; now; surely not? [indicates a question that expects a “no” answer]
suus, -a, -um	(adj.) of oneself, belonging to oneself, his own, her own, his, her, its, their
ars, artis (f.)	(n.) practical skill, art
opto, -are, -avi, -atum	(v.) to choose, select, prefer, wish, wish for, desire
et	(conj.) and; also, too, besides, likewise, as well, even; both...and (et...et)
tantum modo	(adv.) only, merely
saeculum or saeclum, -i (n.)	(n.) generation, age, people of any time
loquor, -i, locutus sum	(v.) to speak, talk, say, tell, mention, utter
an	(conj.) or, or whether
dexter, -tera, -terum, (or -tra, -trum)	(adj.) to the right, on the right side, right
autem	(conj.) but, on the other hand, on the contrary, however
magister, -i (m.)	(n.) teacher, tutor, master, expert, chief; pilot of a ship
labor, -i, lapsus sum	(v.) to glide, slide, move, fall, slip, float, pass, flow
