consilium, -i (n.)	(n.) council, body of counsellors; a plan, purpose, intention
varius, -a, -um	(adj.) diverse, different, changing, varying, various
fortis, -e	(adj.) strong, firm, stout, courageous, brave, valiant, bold, fearless
vita, -ae (f.)	(n.) life
intendo, -ere, -di, -tum	(v.) to stretch out, reach forth, extend
strideo, -ere, -di	(v.) to make a harsh noise, hiss, shriek
fleo, -ere, flevi, fletum	(v.) to weep, cry, shed tears, lament, wail
occido, -ere, -cidi, -casum	(v.) to fall down, fall
de	(prep.) (with abl.) from, away from, down from, out of, about
sum, esse, fui	(v.) to be
tendo, -ere, tetendi, tentum	(v.) to stretch, spread out, extend, intend
medium, -i (n.)	(n.) middle, midst, center, interval, intervening space
ascendo (ads-), -ere, -cendi, -censum	(v.) to climb, go/climb up; mount, scale; embark; rise, ascend, move upward
anima, -ae (f.)	(n.) air, a current of air, breeze, wind; breath, life, soul
cum	(prep.) (with abl.) with, together, along with
gaudeo, -ere, gavisus sum	(v.) to rejoice, be glad, be joyful, take pleasure, be pleased, delight
prope	(prep.) (with acc.) near, near to
tantum	(adv.) so much, so greatly; only, merely, but
moror, -ari, -atus sum	(v.) to delay, stay, wait, remain, linger
fio, fieri, factus sum	(v.) to happen, be done; become
super	(prep.) (with acc. and abl.) above, on top, over
numquam	(adv.) at no time, never
quotus, -a, -um	(adj.) which (in number), what, of what number
ancilla, -ae (f.)	(n.) enslaved woman
donum, -i (n.)	(n.) gift, present
vero	(adv.) in truth, in fact, certainly, truly, to be sure, surely, assuredly
tutus, -a, -um	(adj.) guarded, safe, secure, out of danger
accido, -ere, -cidi	(v.) to fall upon, fall to, reach by falling, happen
aether, -eris (acc. aethera) (m.)	(n.) upper air, sky
teneo, -ere, tenui, tentum	(v.) to hold, keep, have, grasp, hold fast
dulcis, -e	(adj.) sweet
tener, -era, -erum	(adj.) soft, delicate, tender, yielding
cognosco, -ere, cognovi, cognitum	(v.) to become acquainted with, acquire knowledge of, learn, understand, recognize
anxius, -a, -um	(adj.) anxious, uneasy, disturbed; concerned; careful
iacio, -ere, ieci, iactum	(v.) to throw (away); establish; declare
uxor, -is (f.)	(n.) wife
visito, -are, -avi, -atum	(v.) to visit, go to see; look at
moveo, -ere, movi, motum	(v.) to move, stir, set in motion, shake, disturb, remove
tristis, -e	(adj.) sad, mournful, dejected, gloomy, downcast
iudex, -icis (m.)	(n.) judge; juror
curro, -ere, cucurri, cursum	(v.) to run, move quickly, travel quickly
attonitus, -a, -um	(adj.) astonished, fascinated; stupefied, dazed; inspired
si	(conj.) if
legio, -onis (f.)	(n.) body of soldiers, legion
qui, quae, quod	(pron./adj.) who, which, that
auxilium, -i (n.)	(n.) help, assistance; remedy; supporting resource, force; (pl.) auxiliary troops
cornu, -us (n.)	(n.) horn; hoof; beak, claw; bow; horn, trumpet; end, wing of an army
quis, qua, quid	(pron./adj.) anyone, anything, someone, something (often with si, ne, num, or nisi)
potens, -entis	(adj.) powerful, strong; capable; mighty
nunc	(adv.) now, at present, at this time
